# Q dQ R dR fit
0.00877296 0.000101448 0.341488 0.0120488 0.336154
0.0100889 0.000116666 0.270027 0.00892602 0.281133
0.0114048 0.000131883 0.238731 0.00763984 0.230274
0.0127208 0.0001471 0.190142 0.00609664 0.186901
0.0140367 0.000162317 0.15114 0.0047188 0.15034
0.0153526 0.000177533 0.116124 0.00359803 0.119852
0.0166685 0.00019275 0.093597 0.00282189 0.0946877
0.0179845 0.000207967 0.0751298 0.0022739 0.0741173
0.0193004 0.000223183 0.0567824 0.00171043 0.0574608
0.0206163 0.0002384 0.0434843 0.0012602 0.0440998
0.0219322 0.000253616 0.0334448 0.00107919 0.033533
0.0241253 0.000278976 0.0209692 0.000650426 0.0207104
0.0263185 0.000304336 0.012403 0.000394628 0.0123149
0.0285116 0.000329695 0.00719227 0.000236436 0.00703318
0.0307047 0.000355054 0.00383077 0.000136089 0.00384648
0.0328977 0.000380412 0.00202703 8.09328e-05 0.00202325
0.0350908 0.00040577 0.00115779 5.22723e-05 0.00105213
0.0372838 0.000431127 0.000530508 3.01165e-05 0.000586336
0.0394768 0.000456484 0.000387474 2.425e-05 0.00039905
0.0416698 0.00048184 0.000331172 2.0919e-05 0.000348633
0.0438627 0.000507195 0.000369533 1.95166e-05 0.000351713
0.0473713 0.000547762 0.000361378 1.82738e-05 0.000367322
0.0508798 0.000588326 0.000323121 1.63796e-05 0.000347815
0.0543882 0.000628889 0.000288164 1.46028e-05 0.000295139
0.0578966 0.000669449 0.000221942 1.19601e-05 0.00023026
0.0614048 0.000710006 0.000181164 1.01585e-05 0.000172637
0.0649128 0.000750561 0.00013345 8.15401e-06 0.000133225
0.0684208 0.000791114 0.000111641 7.18985e-06 0.000113981
0.0719286 0.000831663 0.000115878 7.10176e-06 0.000109901
0.0754363 0.000872209 0.000103393 6.4756e-06 0.000112137
0.0789438 0.000912752 0.000112903 6.52496e-06 0.000111629
0.0824512 0.000953291 0.000104989 6.07495e-06 0.000102454
0.0859585 0.000993827 8.33949e-05 5.4191e-06 8.39004e-05
0.087712 0.00101409 7.45972e-05 4.54982e-06 7.23166e-05
0.091219 0.00105462 5.19697e-05 3.79172e-06 4.83301e-05
0.0947258 0.00109515 2.65011e-05 2.88615e-06 2.97799e-05
0.0982324 0.00113567 2.59112e-05 2.84521e-06 2.1556e-05
0.101739 0.00117619 2.10548e-05 2.60371e-06 2.44505e-05
0.105245 0.0012167 3.24976e-05 2.85e-06 3.49065e-05
0.108751 0.00125721 5.3558e-05 3.41996e-06 4.68008e-05
0.112257 0.00129772 5.50158e-05 3.28716e-06 5.41606e-05
0.115762 0.00133822 5.10484e-05 3.0795e-06 5.35451e-05
0.119268 0.00137871 4.49233e-05 2.84365e-06 4.51155e-05
0.122773 0.0014192 3.22297e-05 1.91293e-06 3.20941e-05
0.126278 0.00145968 1.87221e-05 1.56446e-06 1.90406e-05
0.129782 0.00150016 8.38008e-06 1.38748e-06 9.82188e-06
0.133287 0.00154063 3.69338e-06 1.28742e-06 6.17524e-06
0.136791 0.0015811 7.3866e-06 1.32374e-06 7.38986e-06
0.140295 0.00162156 1.03737e-05 1.32609e-06 1.10709e-05
0.143798 0.00166202 1.64182e-05 1.43205e-06 1.4474e-05
0.147302 0.00170247 1.54703e-05 1.38688e-06 1.57224e-05
0.150805 0.00174291 1.38663e-05 1.34715e-06 1.44033e-05
0.153432 0.00177324 1.22091e-05 1.15371e-06 1.2184e-05
0.15781 0.00182377 7.95145e-06 1.083e-06 7.84051e-06
0.162187 0.0018743 2.92772e-06 1.00043e-06 4.70383e-06
0.166564 0.00192482 2.94917e-06 9.78987e-07 3.50852e-06
0.170941 0.00197532 3.98498e-06 9.7886e-07 3.62158e-06
0.175317 0.00202581 2.98379e-06 9.61016e-07 3.99591e-06
0.179693 0.00207629 2.96059e-06 9.39167e-07 4.07742e-06
0.184068 0.00212676 3.85113e-06 9.43684e-07 3.96301e-06
0.188442 0.00217722 3.68155e-06 9.35944e-07 3.96162e-06
0.192816 0.00222766 2.56856e-06 9.08582e-07 4.1384e-06
0.197189 0.0022781 4.16298e-06 9.01872e-07 4.25997e-06
0.201562 0.00232851 5.75341e-06 9.19392e-07 4.09459e-06
0.205934 0.00237892 4.38318e-06 9.04699e-07 3.70388e-06
0.210305 0.00242931 3.30546e-06 8.6963e-07 3.42436e-06
0.214676 0.00247968 3.62449e-06 8.72454e-07 3.5625e-06
0.219046 0.00253004 4.98209e-06 8.75905e-07 4.09892e-06
0.223416 0.00258039 4.75852e-06 7.50325e-07 4.6777e-06
0.227785 0.00263072 4.8146e-06 7.41158e-07 4.89061e-06
0.232153 0.00268104 4.54498e-06 7.43862e-07 4.60399e-06
0.23652 0.00273134 4.45286e-06 7.18472e-07 4.05196e-06
0.240887 0.00278162 5.06316e-06 7.2333e-07 3.63399e-06
0.245253 0.00283189 4.16387e-06 7.10064e-07 3.60273e-06
0.249618 0.00288214 3.87761e-06 6.98599e-07 3.89595e-06
0.253982 0.00293238 4.49885e-06 6.9332e-07 4.21753e-06
0.258346 0.00298259 4.28061e-06 6.96051e-07 4.35863e-06
